doc_index,topic
0,13
1,139
2,-1
3,12
4,122
5,90
6,8
7,1
8,116
9,-1
10,-1
11,31
12,51
13,96
14,95
15,0
16,1
17,2
18,23
19,3
20,3
21,90
22,-1
23,33
24,-1
25,-1
26,-1
27,-1
28,27
29,19
30,64
31,98
32,-1
33,-1
34,12
35,-1
36,4
37,4
38,2
39,87
40,-1
41,-1
42,-1
43,158
44,15
45,31
46,34
47,5
48,6
49,53
50,86
51,31
52,-1
53,22
54,31
55,2
56,34
57,4
58,-1
59,-1
60,6
61,-1
62,10
63,-1
64,5
65,-1
66,-1
67,53
68,102
69,-1
70,1
71,70
72,22
73,16
74,-1
75,34
76,13
77,95
78,1
79,-1
80,-1
81,-1
82,34
83,204
84,0
85,52
86,0
87,-1
88,1
89,0
90,-1
91,19
92,156
93,90
94,0
95,7
96,-1
97,36
98,53
99,-1
100,-1
101,6
102,-1
103,125
104,10
105,119
106,4
107,-1
108,2
109,0
110,178
111,-1
112,2
113,55
114,7
115,0
116,2
117,-1
118,140
119,18
120,38
121,38
122,-1
123,-1
124,-1
125,-1
126,-1
127,-1
128,-1
129,-1
130,55
131,10
132,53
133,26
134,-1
135,-1
136,-1
137,166
138,2
139,24
140,50
141,2
142,-1
143,-1
144,-1
145,-1
146,29
147,53
148,-1
149,24
150,50
151,104
152,-1
153,184
154,158
155,-1
156,13
157,20
158,-1
159,2
160,-1
161,5
162,20
163,20
164,42
165,13
166,-1
167,7
168,73
169,-1
170,66
171,7
172,16
173,2
174,27
175,6
176,58
177,11
178,-1
179,1
180,74
181,-1
182,189
183,164
184,-1
185,-1
186,164
187,-1
188,8
189,-1
190,202
191,-1
192,-1
193,188
194,9
195,151
196,78
197,20
198,73
199,-1
200,6
201,4
202,41
203,-1
204,20
205,20
206,17
207,-1
208,4
209,-1
210,0
211,6
212,0
213,-1
214,0
215,121
216,72
217,-1
218,62
219,73
220,-1
221,15
222,-1
223,26
224,54
225,5
226,42
227,4
228,-1
229,146
230,19
231,68
232,58
233,50
234,11
235,-1
236,-1
237,60
238,12
239,4
240,44
241,6
242,68
243,164
244,50
245,184
246,4
247,-1
248,146
249,68
250,55
251,13
252,20
253,2
254,-1
255,-1
256,20
257,-1
258,5
259,-1
260,-1
261,204
262,4
263,-1
264,126
265,42
266,-1
267,11
268,107
269,-1
270,143
271,8
272,93
273,1
274,-1
275,73
276,-1
277,8
278,13
279,24
280,15
281,37
282,-1
283,99
284,19
285,5
286,-1
287,73
288,20
289,-1
290,90
291,-1
292,73
293,0
294,42
295,31
296,7
297,31
298,17
299,-1
300,24
301,7
302,99
303,116
304,7
305,-1
306,15
307,-1
308,87
309,186
310,186
311,2
312,87
313,-1
314,7
315,-1
316,2
317,16
318,-1
319,-1
320,-1
321,33
322,103
323,1
324,-1
325,-1
326,12
327,-1
328,5
329,21
330,0
331,-1
332,165
333,0
334,188
335,6
336,104
337,3
338,7
339,-1
340,112
341,199
342,-1
343,8
344,8
345,-1
346,8
347,8
348,-1
349,-1
350,5
351,-1
352,-1
353,1
354,-1
355,-1
356,172
357,4
358,5
359,17
360,73
361,45
362,-1
363,6
364,0
365,13
366,5
367,153
368,-1
369,-1
370,68
371,5
372,11
373,73
374,-1
375,-1
376,19
377,54
378,54
379,-1
380,3
381,3
382,203
383,24
384,29
385,46
386,2
387,79
388,-1
389,18
390,-1
391,-1
392,43
393,8
394,1
395,219
396,66
397,2
398,116
399,-1
400,-1
401,2
402,2
403,6
404,1
405,36
406,199
407,-1
408,215
409,2
410,1
411,6
412,56
413,-1
414,-1
415,-1
416,45
417,-1
418,139
419,-1
420,86
421,42
422,-1
423,-1
424,4
425,4
426,-1
427,18
428,-1
429,-1
430,-1
431,-1
432,-1
433,-1
434,29
435,45
436,50
437,-1
438,50
439,-1
440,-1
441,64
442,2
443,102
444,0
445,8
446,8
447,1
448,90
449,27
450,8
451,-1
452,-1
453,50
454,-1
455,69
456,5
457,31
458,-1
459,122
460,-1
461,-1
462,-1
463,-1
464,4
465,-1
466,-1
467,-1
468,1
469,4
470,13
471,-1
472,-1
473,-1
474,42
475,188
476,-1
477,-1
478,-1
479,55
480,8
481,-1
482,3
483,13
484,45
485,192
486,-1
487,15
488,4
489,-1
490,22
491,-1
492,219
493,-1
494,16
495,-1
496,118
497,44
498,-1
499,2
500,2
501,20
502,-1
503,116
504,1
505,2
506,118
507,-1
508,-1
509,6
510,5
511,15
512,15
513,141
514,-1
515,5
516,12
517,147
518,2
519,112
520,-1
521,4
522,4
523,-1
524,-1
525,74
526,74
527,34
528,68
529,66
530,68
531,4
